,type_,address,area,metro_station,metro_line,date,update_date,floor,full_floor,price
1331,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",6.0,Бунинская аллея м.,cyan,Размещено 4 января,"сегодня, 00:33",2,15,6776690
143,2-комн.кв.,"Радужная ул, 26",63.0,Свиблово м.,orange,Размещено 30 марта,"сегодня, 10:39",3,16,17500000
1200,1-комн.кв.,", 1к1",9.0,Станция не указана,Ветка не указана,Размещено 1 февраля,"сегодня, 00:37",3,28,7392781
847,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",34.0,Бунинская аллея м.,cyan,Размещено 1 марта,"сегодня, 00:16",6,11,8085494
815,3-комн.кв.,", 7",59.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:20",9,17,11221508
1340,1-комн.кв.,", 1к1",6.0,Станция не указана,Ветка не указана,Размещено 2 февраля,"сегодня, 00:38",24,31,7458877
940,3-комн.кв.,"Радужная ул, 4",53.0,Станция не указана,Ветка не указана,Размещено 23 февраля,"сегодня, 00:40",8,12,7607114
400,1-комн.кв.,"Илимская ул, 6",38.0,Алтуфьево м.,gray,Размещено 13 февраля,"сегодня, 10:39",2,16,12300000
13,1-комн.кв.,"Кубанская ул, 26/2",30.0,Волжская м.,lightgreen,Размещено 4 марта,26 марта,1,5,8290000
376,1-комн.кв.,"Академика Скрябина ул, 28к1",33.0,Рязанский пр-т м.,purple,Размещено 26 февраля,26 марта,9,9,9500000
286,2-комн.кв.,"Новоалексеевская ул, 11",40.0,Алексеевская м.,orange,Размещено 27 марта,"сегодня, 10:39",10,14,15200000
764,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к1",9.0,Бунинская аллея м.,cyan,Размещено 6 марта,"сегодня, 00:39",10,11,9971933
277,3-комн.кв.,"Воронежская ул, 8к2",61.0,Домодедовская м.,green,Размещено 30 марта,"сегодня, 10:39",2,9,20000000
722,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",36.0,Бунинская аллея м.,cyan,Размещено 12 марта,"сегодня, 00:30",3,13,10765120
1207,3-комн.кв.,", 1",6.0,Станция не указана,Ветка не указана,Размещено 1 марта,"сегодня, 00:26",9,17,8257039
867,3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",49.0,Бунинская аллея м.,cyan,Размещено 26 февраля,"сегодня, 00:40",12,15,10429383
96,1-комн.кв.,"Годовикова ул, 14",36.0,Алексеевская м.,orange,Размещено 7 февраля,26 марта,9,9,12000000
1620,1-комн.кв.,"Недорубова ул, 32",35.0,Некрасовка м.,purpledark,Размещено 23 октября 2021,"сегодня, 00:11",11,22,9789276
1403,1-комн.кв.,", 1",7.0,Станция не указана,Ветка не указана,Размещено 15 января,"сегодня, 00:34",12,17,5109828
1350,2-комн.кв.,", 1",6.0,Станция не указана,Ветка не указана,Размещено 5 февраля,30 марта,8,15,9709207
701,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:22",16,17,10742928
1342,2-комн.кв.,", 1",55.0,Станция не указана,Ветка не указана,Размещено 25 декабря 2021,"сегодня, 00:33",3,12,9324404
649,3-комн.кв.,", 1",76.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:13",3,17,15978427
736,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",55.0,Бунинская аллея м.,cyan,Размещено 12 марта,"сегодня, 00:17",3,13,14731754
959,3-комн.кв.,"Радужная ул, 4",58.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12,8402097
